X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-76.9991721690641,38.9072928280737,5th & Morse St NE,classic,79ae0ec5-9bbd-41ee-a9e9-7753233b5e77,active,2023/04/19 22:01:34+00,8,1,7,0,3,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.907287,-76.999167,2023/04/19 22:02:42+00,101086887
-76.9771926237082,38.8854903587914,Stadium Armory Metro,classic,e9611824-0245-4482-bc8b-970c0eface40,active,2023/04/19 22:02:05+00,14,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.885483,-76.977187,2023/04/19 22:02:42+00,101086888
-77.0021688789852,38.8768264936278,3rd & M St SE,classic,60e5f9b2-611b-4713-b34a-8ce2c2ee8ac8,active,2023/04/19 22:02:08+00,0,0,21,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,"Washington, DC",,38.876823,-77.002161,2023/04/19 22:02:42+00,101086889
-77.225400970999,38.9289296807527,Westpark & Park Run Dr,classic,0826373c-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:32+00,10,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,"Fairfax, VA",,38.928919,-77.225394,2023/04/19 22:02:42+00,101086890
-77.0441024900751,38.8705663540975,Long Bridge Aquatic Center,classic,065defed-8e90-46b9-a106-28d590704cf8,active,2023/04/19 22:01:43+00,9,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.870561,-77.044095,2023/04/19 22:02:42+00,101086891
-77.0497251673051,38.8529346146315,Crystal Dr & 23rd St S,classic,08247310-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:38+00,6,0,11,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",41,"Arlington, VA",,38.852929,-77.049723,2023/04/19 22:02:42+00,101086892
-77.0575320544835,38.9336370340416,Connecticut Ave & Macomb St NW / Cleveland Park,classic,08247f59-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:38+00,7,0,4,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",42,"Washington, DC",,38.933626,-77.05753,2023/04/19 22:02:42+00,101086893
-77.0751113537977,38.8479844163738,S Troy St & 26th St S,classic,08254a1e-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:40+00,4,0,8,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.847977,-77.075104,2023/04/19 22:02:42+00,101086894
-77.0318999827161,38.8981720188713,14th & G St NW,classic,0824e24c-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:41+00,13,2,7,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,"Washington, DC",,38.898164,-77.031898,2023/04/19 22:02:42+00,101086895
-77.0333862848098,38.8964690225048,15th St & Pennsylvania Ave NW,classic,3d461075-4edb-497f-89d7-b7beb7595b20,active,2023/04/19 22:01:41+00,2,0,16,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.896465,-77.033381,2023/04/19 22:02:42+00,101086896
-77.1093335327777,39.049004188511,Citadel Ave & McGrath Blvd,classic,97506e92-1d23-4396-8ec8-e1901ccc22fa,active,2023/04/19 22:02:00+00,4,0,10,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",43,"Montgomery County, MD (North)",,39.049,-77.10933,2023/04/19 22:02:42+00,101086897
-77.0418331900804,38.9112760383946,18th & New Hampshire Ave NW,classic,101824b5-2dd0-464c-bc7e-30481e00e6d7,active,2023/04/19 22:01:46+00,14,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.911268,-77.041829,2023/04/19 22:02:42+00,101086898
-77.1135061923272,39.0431809831859,Woodglen Dr & Executive Blvd,classic,f69c2ab2-8d2b-493a-9da4-3a76d0e34753,active,2023/04/19 22:01:46+00,14,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,16,"KEY,CREDITCARD",43,"Montgomery County, MD (North)",,39.04317,-77.1135,2023/04/19 22:02:42+00,101086899
-76.9883106796684,38.9826555535497,Takoma Park Rec Center,classic,0826502d-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:47+00,9,0,6,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",44,"Montgomery County, MD (South)",,38.98265,-76.988311,2023/04/19 22:02:42+00,101086900
-77.0138175677936,38.8637544974417,2nd & V St SW / James Creek Marina,classic,4784f152-5012-49fc-b1bb-723a6d73aa09,active,2023/04/19 22:01:50+00,2,0,17,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.863743,-77.013814,2023/04/19 22:02:42+00,101086901
-77.0594872301002,38.8578756772498,Aurora Hills Cmty Ctr / 18th St & S Hayes St,classic,08246d68-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:50+00,2,0,10,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,"Arlington, VA",,38.857866,-77.05949,2023/04/19 22:02:42+00,101086902
-77.0537732680695,38.7975667362703,Lee Center,classic,082625d9-1f3f-11e7-bf6b-3863bb334450,active,2023/04/19 22:01:53+00,9,0,6,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,"Alexandria, VA",,38.797557,-77.053766,2023/04/19 22:02:42+00,101086903
-77.1669200630083,38.8856255434811,W Columbia St & N Washington St,classic,33efb11b-052f-437e-ab74-2e6b4661822d,active,2023/04/19 22:01:54+00,2,0,10,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",152,"Falls Church, VA",,38.885621,-77.166917,2023/04/19 22:02:42+00,101086904
-76.9648980544824,38.9252051356567,South Dakota Ave & Bladensburg Rd NE,classic,183f8ffb-756c-4271-8d9a-a5cde3f13116,active,2023/04/19 22:01:55+00,9,0,6,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.9252,-76.964896,2023/04/19 22:02:42+00,101086905
-76.9266002038717,38.8795870440756,Woody Ward Rec Center,classic,c51f0090-a4f9-416d-a18b-6e0505b1dca1,active,2023/04/19 22:01:52+00,6,0,9,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.879575,-76.926596,2023/04/19 22:02:42+00,101086906
-76.9405467889001,39.0853245898231,Castle Blvd & Castle Ln,classic,804fb759-1127-4059-a67a-c1fdd5d98082,active,2023/04/19 22:01:49+00,11,0,8,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",44,"Montgomery County, MD (South)",,39.085314,-76.940547,2023/04/19 22:02:42+00,101086907
-77.0510970335839,39.0473325544279,Wheaton Library & Community Rec Center,classic,2f12b7e0-a0f1-49ed-92d8-784133ea9168,active,2023/04/19 22:01:56+00,9,0,2,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",44,"Montgomery County, MD (South)",,39.047323,-77.051097,2023/04/19 22:02:42+00,101086908
-77.0318825195611,38.9106846268622,14th & Q St NW,classic,a7b98322-bdbb-421e-b2e4-1bb42ef9d01f,active,2023/04/19 22:01:56+00,2,0,16,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.910674,-77.03188,2023/04/19 22:02:42+00,101086909
-77.1423246711007,38.8860544731585,Westover Library / Washington Blvd & N McKinley Rd,classic,ce3db0b4-8c4f-4c6c-a059-73fff08c1edf,active,2023/04/19 22:01:50+00,8,0,7,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,"Arlington, VA",,38.886048,-77.142317,2023/04/19 22:02:42+00,101086910
-77.1769981262879,38.8874123855861,Pennsylvania Ave & Park Ave,classic,33ae16de-ca5b-4253-9096-35ccae7bb8dd,active,2023/04/19 22:01:51+00,3,0,9,7,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",152,"Falls Church, VA",,38.887403,-77.176992,2023/04/19 22:02:42+00,101086911
-76.9959293087872,38.9617479495514,Chillum Rd & Riggs Rd / Riggs Plaza,classic,fbd404e2-bd4c-464b-b0db-9eaa011a90ae,active,2023/04/19 22:01:51+00,11,0,4,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",133,Prince George's County,,38.961737,-76.995922,2023/04/19 22:02:42+00,101086912
-77.08507138949,38.8247988120954,King St & Kenwood Ave,classic,bc1a59ac-f82d-44bd-9f2d-b5801f8bbb8d,active,2023/04/19 22:01:57+00,15,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,16,"KEY,CREDITCARD",40,"Alexandria, VA",,38.824793,-77.085066,2023/04/19 22:02:42+00,101086913
